2758	See Afro-Latin American, though I would personally merge that artiucle and this one,	Podívejme se na Afro - Latinskou Ameriku , I když bych osobně spojil tuhle a tuhle ,	[0, 0, 1]	NOT
8772	Should a triprotic acid be given as a standard curve? Surely the standard curves should be the monoprotic strong/weak combinations?	Měla by být triprotiková kyselina jako standardní křivka ? Jistě standardní křivky by měly být monoprotické silné / slabé kombinace ?	[0, 1, 0]	NOT
5909	For continued disruption, you have now been blocked for one week.	Kvůli pokračujícímu narušení jste nyní blokován na týden .	[0, 0, 0]	NOT
3108	Isn't that a US government product? They shouldn't be able to reserve that.	Není to produkt americké vlády ? Neměli by to mít možnost rezervovat .	[0, 0, 0]	NOT
3379	all those special views can be elaborated in the article, they don't need (wrong) prominence in he lead	všechny tyto zvláštní názory mohou být vysvětleny v článku , nepotřebují ( pochybný ) význam v jeho vedení	[0, 0, 0]	NOT
6664	The 'British' in Britsh Isles refers to the Ancient Britons, and so in this case should be uncontroversial.	Britský v Britských ostrovech odkazuje na starověké Brity , a v tomto případě by měl být nesporný .	[0, 0, 0]	NOT
8788	RE: your photo usage request! I have moved your message to my current talk page and replied there, for continuity.	RE : váš požadavek na používání fotografií ! Přesunula jsem vaši zprávu do mé současné stránky pro rozhovor a odpověděla tam , pro kontinuitu .	[0, 0, 0]	NOT
220	p.s. Don't expect me to reply promptly please, I have a life offline.	Nečekejte , že vám hned odpovím , prosím , mám život offline .	[0, 0, 0]	NOT
8364	Did you mention that I have provided additional sources supporting my view?	Zmínil jste se , že jsem poskytl další zdroje podporující můj názor ?	[0, 0, 0]	NOT
6449	it took me two minutes to understand that but okay. you win. thank you very much for your information.	trvalo mi to dvě minuty , abych to pochopil , ale v pořádku . Vyhrál jste . Děkuji vám moc za vaše informace .	[0, 0, 0]	NOT
3246	He should start with the Peters/Ahmed figures question.	Měl by začít s otázkou Peters / Ahmedovy postavy .	[0, 0, 0]	NOT
1215	October 2009 Please stop your disruptive editing. If you continue to vandalize Wikipedia, you will be blocked from editing.	Říjen 2009 Prosím , přestaňte své narušující úpravy . Pokud budete pokračovat v vandalizování Wikipedie , budete zablokováni z úpravy .	[0, 0, 0]	NOT
6037	i provided you with the information so can you remove the line saying going out and the scrutinity line removed i will not ask you to add it back	Poskytl jsem vám informace , takže můžete odstranit řádek , že jít ven a kontrolní řádek odstraněn Nebudu vás požádat , abyste ho přidali zpět	[0, 0, 0]	NOT
3185	REDIRECT Talk:Illinois Central Gulf commuter rail accident	REDIRECT Talk : Neštěstí při jízdě vlakem do Illinois Central Gulf	[0, 1, 0]	NOT
9007	I made a few changes. People can click over to the article on the Washington Times, for instance, and read about its connection to the church.	Lidé mohou kliknout na článek v Washington Timesu , například , a přečíst o jeho spojení s církví .	[0, 1, 0]	NOT
5703	Hey, EVula, what do you think of me, Tim! Write it on my profile, .	Hej , EVulo , co si o mně myslíš , Time ! Napiš to na můj profil .	[0, 0, 0]	NOT
2437	Also I doubt that its the second largest in Montreal. Is this by enrollment or building size? This should be elaborated.	Také pochybuji , že jeho druhý největší v Montrealu . Je to podle zařazení nebo velikosti budovy ? To by mělo být vysvětleno .	[0, 1, 0]	NOT
3791	Hi wikipedia editors wikipedia user Seraphimblade not good user	Ahoj wikipedia editory wikipedia uživatel Seraphimblade není dobrý uživatel	[0, 0, 0]	NOT
9542	This guy is a self-proclaimed professor, he should have known more than better.	Tenhle chlap je sebeprohlašovaný profesor , měl to vědět víc než lépe .	[0, 0, 0]	NOT
2625	Why are you doing this? Are you some sort of sadist or troll?	Proč to děláš ? Jsi nějakej sadista nebo troll ?	[0, 0, 0]	NOT
444	Sorry but I am just making very little updates. Do I need to discuss before making these updates? Thanks. Sorry again !	Promiňte , ale dělám jen velmi malé aktualizace . Potřebuji prodiskutovat před těmito aktualizacemi ? Díky . Promiňte znovu !	[0, 0, 0]	NOT
6962	Again, comparing the Kiedis images, are you a retard or simply still in kindergarden ?	Znovu , porovnáním s Kiedis obrázky , jste retard nebo prostě pořád v školce ?	[0, 0, 0]	NOT
2888	WHAT WHAT WHAT!!!!!! that was a smiley face WOW B==) what is wrong with you?	Co se děje , co se děje ? ! To bylo úsměvný obličej WOW B== ) co se s tebou děje ?	[0, 0, 0]	NOT
1107	Hey Burgas00, why did you make that personal attack on me on my user page? I found it rather funny:)))	Hej Burgas00 , proč jste na mě udělal ten osobní útok na mé uživatelské stránce ? Napadlo mě to docela vtipné : ) ) )	[0, 0, 0]	NOT
4251	I try to look at all the data involved. I'm not sure why anyone wouldn't either, but I assume good faith.	Nejsem si jistý , proč by to nikdo nedělal , ale předpokládám , že to bude v dobré víře .	[1, 1, 0]	ERR
9669	I'm confused? just had to type something tho to see what it's all about???	Jsem zmatený ? Jen jsem musel napsat něco , abych viděl , o čem to celé je ? ? ?	[0, 0, 0]	NOT
7247	Oh they where somebody elses eunuchs! thats OK then!	Oh oni , kde někdo jiný eunuchs ! To je v pořádku !	[0, 0, 0]	NOT
4829	nor was even close to approaching 3RR and neither was there any report filed.	ani se nepřibližoval k 3RR a nebyla tam žádná zpráva .	[0, 0, 1]	NOT
1655	Quoted Cong. Rohrabacher DIRECTLY regarding sutton. Now stop the whitewashing goon who keeps deleting things from this article.	Citovaný Cong . Rohrabacher přímo ohledně sutton . Nyní zastavte mytí blbce , který neustále smazává věci z tohoto článku .	[1, 0, 1]	ERR
6020	Having been victimized by this contributor's immature attacks on contributions, I welcome his departure.	Poté , co byl obětí nedospělých útoků tohoto přispěvatele na příspěvky , vítám jeho odchod .	[0, 0, 0]	NOT
9212	and perhaps add a sentence about the critics on Giuccardini.	a možná doplnit větu o kritikech Giuccardiniho .	[0, 0, 0]	NOT
5697	Included some relevant links and edited some emotive language	Zahrnoval některé relevantní odkazy a upravil některé emotivní jazyk	[0, 0, 1]	NOT
7734	I fail to see how tacking a speedy delete on this article is acting in good faith.	Nechápu , jak řešení rychlého vymazání tohoto článku jedná v dobré víře .	[0, 0, 0]	NOT
5759	You stick to your talk page, I'll d mine, right? 20:	Zůstaň na svém diskusním webu , já budu na svém , že jo ?	[0, 0, 0]	NOT
3581	This is the english poet of The beggar Woman! (NICE WORK)	Tohle je anglický básník The beggar Woman ! ( Pěkná práce )	[0, 0, 1]	NOT
1228	Thanks. If you need any help, feel free to ask me here.	Pokud budete potřebovat nějakou pomoc , klidně se mě zeptejte .	[0, 0, 0]	NOT
8457	Stop lying. Name, caps, hyphens are the issue. WBC & TBR uses completely different formats to each other and your own; [URL] [URL] [URL]	Přestaňte lhát . Jméno , čepice , nápisy jsou problémem . WBC & TBR používá zcela jiné formáty k sobě navzájem a vaše vlastní ; [ URL ] [ URL ] [ URL ]	[1, 0, 1]	ERR
2285	Why was my talk page protected? Noone can use it right now?	Proč byla moje talková stránka chráněna ? Nikdo ji teď nemůže používat ?	[0, 0, 0]	NOT
5061	Sorry I didnt Know im just new i better read the rules properly	Promiň , že jsem nevěděl , že jsem jen nový lépe si pravidla správně přečíst	[1, 0, 0]	NOT
7240	REDIRECT Talk:Soobramoney v. Minister of Health, KwaZulu-Natal	REDIRECT Talk : Soobramoney v . ministr zdravotnictví , KwaZulu - Natal	[0, 0, 0]	NOT
3870	If you knew any better you would know that only bullshit gets published, and people like you try to delete the truth.	Kdybys to věděl lépe , věděl bys , že se zveřejňují jen blbosti a lidé jako ty se snaží vymazat pravdu .	[0, 0, 0]	NOT
5155	Dear Sir any historical discussion on India has to be based India before partition.That is inevitable. V.kothanda Raman	Vážený pane , každá historická diskuze o Indii musí být založena na Indii před rozdělením . To je nevyhnutelné . V . kothanda Raman	[0, 0, 0]	NOT
2645	Applied section as proposed and agreed here. It's much shorter and heavily sourced. Regards.	Použitá část , jak se zde navrhuje a dohodnuto . Je mnohem kratší a těžší .	[0, 1, 1]	ERR
3311	Leave the Merseyrail page alone. You have amened nothing of merit. Please do not use trainspotter speak.	Nechte stránku Merseyrail na pokoji , nic jste nezměnili , prosím , nevyužívejte slovo trainspotter .	[1, 1, 1]	ERR
8906	Nobel Prize for Literature winner Yiddish writer Isaac Bashevis Singer was born here. No he wasn't - he was born in Leoncin.	Nobelovu cenu za literaturu se zde narodil jidišský spisovatel Isaac Bashevis Singer . Ne , nebyl - narodil se v Leoncinu .	[0, 0, 1]	NOT
1594	I only want people to stop concerning my IP account is not TougHHead and people to stay away from my userpage and my usertalkpage. )	Chci jen , aby lidé přestali týkající se mého IP účtu není TougHHead a lidé zůstat daleko od mé uživatelské stránky a mé uživatelské stránky rozhovoru . )	[0, 0, 1]	NOT
5034	Hi Adela! I'm a brand new member muddling my way around the site! Any advice for keeping it simple? Thanks! Im Kevin	Ahoj Adela ! Jsem úplně nový člen pomyšlení můj způsob kolem webu ! Máte nějaké rady pro udržení jednoduché ? Díky ! Im Kevin	[1, 0, 0]	NOT
8976	How are you feeling about that NYPD motorcycle one? Look okay?	Jak se cítíš ohledně toho motocyklu NYPD ?	[0, 0, 0]	NOT
810	What kind of speedy delete does this need? . The fair use rationale is lacking, and the picture is a scanlation, which is illegal I'm pretty sure. ·	Jaký druh rychlého smažení to potřebuje ? . Racionální použití chybí , a obrázek je scanlation , což je nezákonné jsem si docela jistý . ·	[1, 0, 1]	ERR
1641	I cited some more sources in my new edits. I hope I have finally pleased you	Zmiňoval jsem další zdroje ve svých nových úpravách . Doufám , že jsem konečně tě potěšil .	[0, 0, 0]	NOT
9398	Note to whom it may concern - this IP belongs to one of NTL's cache servers in Manchester, a block would affect many NTL customers	Vezměte na vědomí , koho to může zajímat - toto IP patří k jednomu z NTL cache serverů v Manchesteru , blok by ovlivnil mnoho NTL zákazníků	[0, 0, 0]	NOT
6534	NPOV It seems to me that this article is not entirely neutral, considering some of the language used. -	NPOV Zdá se mi , že tento článek není zcela neutrální , s ohledem na některé z použitých jazyků . -	[0, 0, 0]	NOT
4092	And why was this deleted? He is an American Radio Show host much like Bob & Tom, Tom Joyner, and some others.	Je moderátorem amerického rozhlasového pořadu podobně jako Bob & Tom , Tom Joyner a někteří další .	[0, 0, 0]	NOT
1452	Intro: This could be expanded a little bit more. It'	Tohle by se dalo rozšířit o něco víc .	[0, 0, 1]	NOT
9421	I've reverted the article to a more POV free state. FTR It looks like you're the only editor who disagrees with my work on Abe.	Zdá se , že jste jediný redaktor , který nesouhlasí s mou prací na Abe .	[0, 0, 0]	NOT
157	The struggle between the Bionicle characters Makuta and Mata Nui may be based on the enmity between Quetzalcoatl and Tezcatlipoca.Citation needed	Boj mezi postavami z Bionicle Makutou a Mata Nui může být založen na nepřátelství mezi Quetzalcoatlem a Tezcatlipoca .	[0, 0, 1]	NOT
1957	For all their 'scary' rhetoric the NOI have always struck me as a fairly conservative organisation.	"Bez ohledu na všechny jejich "" strašidelné "" řeči mě NOI vždy zajímala jako poměrně konzervativní organizaci ."	[0, 0, 0]	NOT
2329	Also I saw Starscreams new look. His chin and his jet is based off from a Su-47 Berkut.	Také jsem viděl Starscreams nový vzhled . Jeho brada a jeho tryskáč je založen na Su - 47 Berkut .	[1, 0, 0]	NOT
5419	I AM REALLY UPSET with his deletion nominations!!!!	Jsem opravdu naštvaná na jeho nominace na vyřazení z funkce ! ! ! !	[0, 0, 1]	NOT
1772	Xman52 is vandalizing again. Your last couple have edits have looked fine to me. Page should be locked & Xman52 should be banned.	Xman52 znovu vandalizuje . Vaše poslední dvojice mají úpravy vypadaly dobře na mě . Stránka by měla být zamčená a Xman52 by měla být zakázána .	[0, 0, 0]	NOT
1811	By the way, there also people surnamed Gautier who've been living for centuries in Spain.	Mimochodem , jsou tu také lidé jménem Gautier , kteří žijí ve Španělsku celá staletí .	[0, 0, 0]	NOT
5239	I don't really remember that. What episode was that Conquistador?	Jaký byl ten Conquistador ?	[0, 0, 3]	NOT
7719	Keep your Racism and Bigotry out of Wikipedia Please	Držte svůj rasismus a bigotry mimo Wikipedii Prosím	[0, 0, 0]	NOT
6432	No a sockpuppet is an account of of another. IP adresses aren't accounts.	Žádný sockpuppet není účet jiného . IP adresy nejsou účty .	[1, 0, 0]	NOT
5693	It appears you can expect lame shit like that from this editor.	Zdá se , že od tohohle editora můžeš očekávat takový blbý sračky .	[0, 0, 1]	NOT
6013	Hint, read the exchange in the preceding section, you lazy, but prissy fusspots.	Tipu , přečtěte si výměnu v předchozím bodě , ty líný , ale štědrý blbci .	[0, 0, 1]	NOT
6846	I will erase El Torito for not being related to PXE. I will Erase ERPXE for being a project non supported here even for a SINGLE independent source.	Vymažu El Torito za to , že není s PXE spojeno . Vymažu ERPXE za to , že je projekt , který zde není podporován ani pro SINGLE nezávislé zdroje .	[0, 1, 0]	NOT
4880	Isn't she Queen? Yeohwang means Queen, and the external links says she's Queen.	Je to královna ? Yeohwang znamená královnu a vnější odkazy říkají , že je královna .	[0, 0, 0]	NOT
8151	why you edited sergio rico national team he has been callen for spain and u removed are u bilnd do u ever watch news	proč jste editoval sergio rico národní tým byl volán pro Španělsko a u odstraněn jsou u Billnd dělat u někdy dívat se na zprávy	[0, 0, 1]	NOT
4186	devout Christian and politically conservative. He has written several books on Christi	věrný křesťan a politicky konzervativní . Napsal několik knih o Christi	[0, 0, 2]	NOT
3655	If you knew they were a real band why delete the page? I wasn't even done editing the page yet, you guys just deleted it!	Pokud jste věděli , že jsou skutečná kapela , proč smazat stránku ? Ještě jsem nebyla hotová s editací stránky , vy ho prostě smazali !	[0, 0, 0]	NOT
2521	Also, I could not find any reference to 'least astonishment' in WP:MoS and WP:NAME. Please clarify.	"Také jsem nenašel žádnou odkaz na "" nejméně překvapení "" v WP : MoS a WP : NAME . Prosím vysvětlete ."	[0, 1, 0]	NOT
3563	Dead== Is he dead? Granted, I seen this information of 4chan, but is it true? ==	Opravdu , viděl jsem tu informaci o 4chanu , ale je to pravda ?	[0, 0, 0]	NOT
1164	Maybe while you are at it, you should sing praises of Al-Qaeda or Jaish-e-mohammad in there.	Možná , že když už jste u toho , měli byste tam zpívat chválu Al - Kajdá nebo Jaish - e - mohammad .	[0, 0, 0]	NOT
465	I dare you try to blcok ME the best of them all. I know where you live ha ha ha.	Odvážím se , abys se pokusila mě blcok ty nejlepší z nich všechny .	[1, 1, 3]	ERR
4306	My last statement wasn't a threat. It was an invitation.	Moje poslední prohlášení nebyla hrozba , byla to pozvánka .	[0, 0, 0]	NOT
9446	the welcome page to learn more about contributing to this encyclopedia. Thank you.	na úvodní stránce , abyste se dozvěděli více o přispění k této encyklopedii . Děkuji .	[0, 0, 0]	NOT
2156	Yay i can edit again *happy*. Now to find something helpful to do	Yay mohu upravit znovu * šťastný * . Nyní najít něco užitečného , co dělat	[0, 0, 0]	NOT
2003	Hey Chazz, your additions look good. I made some minor edits but the material seemed satisfactory.	Ahoj Chazz , tvoje přidání vypadají dobře . Udělal jsem menší úpravy , ale materiál vypadal uspokojivě .	[0, 0, 0]	NOT
3691	Why is there a section titled Koinophilia within the article titled Koinophilia? This is redundant.	Proč existuje v článku s názvem Koinophilia část s názvem Koinophilia ? To je zbytečné .	[0, 0, 1]	NOT
9941	I'm lysy. Bonaparte was my Romanian friend but he god blocked by Mikkalai. I'm from Poland. Noroc.	Jsem lysy . Bonaparte byl můj rumunský přítel , ale on byl zablokován Mikkalai .	[0, 1, 1]	ERR
642	Even if the article were only about the style of glasses she wears, it would still be an unusable source.	I kdyby se článek týkal pouze stylu brýlí , které nosí , byl by stále nepoužitelným zdrojem .	[0, 0, 0]	NOT
3192	The Gathering)]]'''  page = From the Vault: Dragons }}	The Gathering ) ] ] ' ' ' stránka = Z trezoru : Draci } }	[2, 0, 0]	NOT
6910	If you do so again, then you may be blocked from editing. That said,	Pokud to uděláte znovu , pak můžete být zablokován od úpravy .	[0, 1, 0]	NOT
433	Seriously, the vaccine is not useful and not safe. Can't you see a link with the article? Really?	Vážně , vakcína není užitečná a nebezpečná . Nevidíte odkaz na článek ? Opravdu ?	[1, 0, 0]	NOT
